"year.month","year","DriversKilled","drivers","front","rear","kms","PetrolPrice","VanKilled","law"
1973.33333333333,1973,151,2003,1014,487,14391,0.0845907801489325,12,0
1973.41666666667,1973,140,1813,1022,505,15597,0.0841369037739444,11,0
1973.5,1974,153,2012,1114,619,16834,0.0837784051341314,13,0
1973.58333333333,1974,140,1912,1132,640,17282,0.0835107427259604,15,0
1973.66666666667,1974,161,2084,1111,559,15779,0.0828063938633846,11,0
1973.75,1974,168,2080,1008,453,13946,0.0811788933269884,11,0
1973.83333333333,1974,152,2118,916,418,12701,0.0828536069623417,10,0
1973.91666666667,1974,136,2150,992,419,10431,0.0941901186933595,13,0
1974,1974,113,1608,731,262,11616,0.0923998429510411,8,0
1974.08333333333,1974,100,1503,665,299,10808,0.108161478199019,6,0
1974.16666666667,1974,103,1548,724,303,12421,0.10721168869023,8,0
1974.25,1974,103,1382,744,401,13605,0.114042966782082,14,0
1974.33333333333,1974,121,1731,910,413,14455,0.112454115810183,12,0
1974.41666666667,1974,134,1798,883,426,15019,0.111316253290611,14,0
1974.5,1975,133,1779,900,516,15662,0.11030125221242,13,0
1974.58333333333,1975,129,1887,1057,600,16745,0.108197177376865,9,0
1974.66666666667,1975,144,2004,1076,459,14717,0.107027443082328,4,0
1974.75,1975,154,2077,919,443,13756,0.104946980916917,13,0
1974.83333333333,1975,156,2092,920,412,12531,0.119357749193208,6,0
1974.91666666667,1975,163,2051,953,400,12568,0.117621904277373,15,0
1975,1975,122,1577,664,278,11249,0.133027420877451,12,0
1975.08333333333,1975,92,1356,607,302,11096,0.130845243689729,16,0
1975.16666666667,1975,117,1652,777,381,12637,0.128318477474772,7,0
1975.25,1975,95,1382,633,279,13018,0.123547448292297,12,0
1975.33333333333,1975,96,1519,791,442,15005,0.118586811514179,10,0
1975.41666666667,1975,108,1421,790,409,15235,0.116337480161004,9,0
1975.5,1976,108,1442,803,416,15552,0.11516147558196,9,0
1975.58333333333,1976,106,1543,884,511,16905,0.114501197216867,6,0
1975.66666666667,1976,140,1656,769,393,14776,0.113522979499817,7,0
1975.75,1976,114,1561,732,345,14104,0.111930179432996,13,0
1975.83333333333,1976,158,1905,859,391,12854,0.110610528503361,14,0
1975.91666666667,1976,161,2199,994,470,12956,0.11527438914664,13,0
1976,1976,102,1473,704,266,12177,0.113793485966034,14,0
1976.08333333333,1976,127,1655,684,312,11918,0.112349582098189,11,0
1976.16666666667,1976,125,1407,671,300,13517,0.111753469387189,11,0
1976.25,1976,101,1395,643,373,14417,0.109642522576533,10,0
1976.33333333333,1976,97,1530,771,412,15911,0.10844089510559,4,0
1976.41666666667,1976,112,1309,644,322,15589,0.107884938936114,8,0
1976.5,1977,112,1526,828,458,16543,0.109084769191454,9,0
1976.58333333333,1977,113,1327,748,427,17925,0.107571450111271,10,0
1976.66666666667,1977,108,1627,767,346,15406,0.106164022368002,10,0
1976.75,1977,128,1748,825,421,14601,0.106299999323319,5,0
1976.83333333333,1977,154,1958,810,344,13107,0.104825313000088,13,0
1976.91666666667,1977,162,2274,986,370,12268,0.103451745711815,12,0
1977,1977,112,1648,714,291,11972,0.101449920129493,10,0
1977.08333333334,1977,79,1401,567,224,12028,0.100402316427863,9,0
1977.16666666667,1977,82,1411,616,266,14033,0.098862033680192,7,0
1977.25,1977,127,1403,678,338,14244,0.102496154313521,5,0
1977.33333333334,1977,108,1394,742,298,15287,0.103027431599736,10,0
1977.41666666667,1977,110,1520,840,386,16954,0.102178908220655,5,0
1977.5,1978,123,1528,888,479,17361,0.0998366428726473,6,0
1977.58333333334,1978,103,1643,852,473,17694,0.0926366895833353,8,0
1977.66666666667,1978,97,1515,774,332,16222,0.0918149629077569,6,0
1977.75,1978,140,1685,831,391,14969,0.090724303768407,12,0
1977.83333333334,1978,165,2000,889,370,13624,0.0900212072768793,15,0
1977.91666666667,1978,183,2215,1046,431,13842,0.0893307058230937,7,0
1978,1978,148,1956,889,366,12387,0.0884427348717763,14,0
1978.08333333334,1978,111,1462,626,250,11608,0.0883525692744791,4,0
1978.16666666667,1978,116,1563,808,355,15021,0.0867573619308237,10,0
1978.25,1978,115,1459,746,304,14834,0.0849952420449752,8,0
1978.33333333334,1978,100,1446,754,379,16565,0.0845679437213488,7,0
1978.41666666667,1978,106,1622,865,440,16882,0.0844318988774436,11,0
1978.5,1979,134,1657,980,500,18012,0.0843508831482932,3,0
1978.58333333334,1979,125,1638,959,511,18855,0.0836009830491076,5,0
1978.66666666667,1979,117,1643,856,384,17243,0.0834172630524962,11,0
1978.75,1979,122,1683,798,366,16045,0.0827451397987249,10,0
1978.83333333334,1979,153,2050,942,432,14745,0.0852352669035281,10,0
1978.91666666667,1979,178,2262,1010,390,13726,0.0847703028296526,7,0
1979,1979,114,1813,796,306,11196,0.0844589214084587,10,0
1979.08333333334,1979,94,1445,643,232,12105,0.085352119244763,11,0
1979.16666666667,1979,128,1762,794,342,14723,0.0875592125175749,9,0
1979.25,1979,119,1461,750,329,15582,0.0903829170614837,7,0
1979.33333333334,1979,111,1556,809,394,16863,0.0907832937355188,8,0
1979.41666666667,1979,110,1431,716,355,16758,0.108742780219868,13,0
1979.5,1980,114,1427,851,385,17434,0.114142227335262,8,0
1979.58333333334,1980,118,1554,931,463,18359,0.112992933231466,5,0
1979.66666666667,1980,115,1645,834,453,17189,0.111320706029796,8,0
1979.75,1980,132,1653,762,373,16909,0.109126229280665,7,0
1979.83333333334,1980,153,2016,880,401,15380,0.107698459343112,12,0
1979.91666666667,1980,171,2207,1077,466,15161,0.107601574334496,10,0
1980,1980,115,1665,748,306,14027,0.103775019202843,7,0
1980.08333333334,1980,95,1361,593,263,14478,0.107114170431059,4,0
1980.16666666667,1980,92,1506,720,323,16155,0.107374774370757,10,0
1980.25,1980,100,1360,646,310,16585,0.111695372689559,4,0
1980.33333333334,1980,95,1453,765,424,18117,0.110638184592354,8,0
1980.41666666667,1980,114,1522,820,403,17552,0.111855211329895,8,0
1980.5,1981,102,1460,807,406,18299,0.109742342683337,7,0
1980.58333333334,1981,104,1552,885,466,19361,0.108193931510232,10,0
1980.66666666667,1981,132,1548,803,381,17924,0.106255362697951,8,0
1980.75,1981,136,1827,860,369,17872,0.104193034427699,14,0
1980.83333333334,1981,117,1737,825,378,16058,0.101933972880902,8,0
1980.91666666667,1981,137,1941,911,392,15746,0.102793824574291,9,0
1981,1981,111,1474,704,284,15226,0.10476034144929,8,0
1981.08333333334,1981,106,1458,691,316,14932,0.104002535534347,6,0
1981.16666666667,1981,98,1542,688,321,16846,0.116655515402424,7,0
1981.25,1981,84,1404,714,358,16854,0.11516147558196,6,0
1981.33333333334,1981,94,1522,814,378,18146,0.112989543494316,5,0
1981.41666666667,1981,105,1385,736,382,17559,0.113860643932406,4,0
1981.5,1982,123,1641,876,433,18655,0.119118081064489,5,0
1981.58333333334,1982,109,1510,829,506,19453,0.124489986005886,10,0
1981.66666666667,1982,130,1681,818,428,17923,0.123222945411622,7,0
1981.75,1982,153,1938,942,479,17915,0.12067793212866,10,0
1981.83333333334,1982,134,1868,782,370,16496,0.121048982651421,12,0
1981.91666666667,1982,99,1726,823,349,13544,0.116968571491487,7,0
1982,1982,115,1456,595,238,13601,0.112750259392875,4,0
1982.08333333334,1982,104,1445,673,285,15667,0.108079306704711,5,0
1982.16666666667,1982,131,1456,660,324,17358,0.108838515984019,6,0
1982.25,1982,108,1365,676,346,18112,0.111291766408542,4,0
1982.33333333334,1982,103,1487,755,410,18581,0.111304009176187,4,0
1982.41666666667,1982,115,1558,815,411,18759,0.115454357532553,8,0
1982.5,1983,122,1488,867,496,20668,0.114768296055692,8,0
1982.58333333334,1983,122,1684,933,534,21040,0.117207430931122,3,0
1982.66666666667,1983,125,1594,798,396,18993,0.119076397031248,7,0
1982.75,1983,137,1850,950,470,18668,0.117965862171995,12,0
1982.83333333334,1983,138,1998,825,385,16768,0.117449127100423,2,0
1982.91666666667,1983,152,2079,911,411,16551,0.116988457838933,7,0
1983,1983,120,1494,619,281,16231,0.11261053571781,8,0
1983.08333333334,1983,95,1057,426,300,15511,0.113657015681422,3,1
1983.16666666667,1983,100,1218,475,318,18308,0.113144445252379,2,1
1983.25,1983,89,1168,556,391,17793,0.118495534815352,6,1
1983.33333333334,1983,82,1236,559,398,19205,0.117969401200945,3,1
1983.41666666667,1983,89,1076,483,337,19162,0.1176866141183,7,1
1983.5,1984,60,1174,587,477,20997,0.120059238961094,6,1
1983.58333333334,1984,84,1139,615,422,20705,0.119437745680998,8,1
1983.66666666667,1984,113,1427,618,495,18759,0.118881271786551,8,1
1983.75,1984,126,1487,662,471,19240,0.118462360710195,4,1
1983.83333333334,1984,122,1483,519,368,17504,0.118016598400236,3,1
1983.91666666667,1984,118,1513,585,345,16591,0.117706622543368,5,1
1984,1984,92,1357,483,296,16224,0.117776089941536,5,1
1984.08333333334,1984,86,1165,434,319,16670,0.114796991716514,3,1
1984.16666666667,1984,81,1282,513,349,18539,0.11573525277085,4,1
1984.25,1984,84,1110,548,375,19759,0.115356263024722,3,1
1984.33333333334,1984,87,1297,586,441,19584,0.114815360704668,6,1
1984.41666666667,1984,90,1185,522,465,19976,0.114777477886645,6,1
1984.5,1985,79,1222,601,472,21486,0.114935980147534,7,1
1984.58333333334,1985,96,1284,644,521,21626,0.114796991716514,5,1
1984.66666666667,1985,122,1444,643,429,20195,0.114093156728444,7,1
1984.75,1985,120,1575,641,408,19928,0.116465521799171,7,1
1984.83333333334,1985,137,1737,711,490,18564,0.116026113132354,4,1
1984.91666666667,1985,154,1763,721,491,18149,0.116066729379379,7,1
